fit_time,score_time,estimator,test_acc,train_acc,test_brier,train_brier,test_auc,train_auc,test_balanced_acc,train_balanced_acc,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall,test_tp,train_tp,test_tn,train_tn,test_fp,train_fp,test_fn,train_fn
0.03234410285949707,0.007997274398803711,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7922077922077922,0.8887043189368771,-0.1509136411640592,-0.10240480260503489,0.8544444444444445,0.9206107853875395,0.7377777777777779,0.856111075317312,0.851851851851852,0.9210836277974086,0.7931034482758621,0.9009216589861752,0.92,0.9421686746987952,46,391,15,144,12,43,4,24
0.0325467586517334,0.008362531661987305,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9117647058823529,0.8756137479541735,-0.07073838581707653,-0.11387262941442576,0.9838541666666667,0.9067158644218645,0.8645833333333333,0.8413372394867611,0.9400000000000001,0.911214953271028,0.9038461538461539,0.8883826879271071,0.9791666666666666,0.935251798561151,47,390,15,145,5,49,1,27
0.0347135066986084,0.014977216720581055,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8805237315875614,-0.09361421001965928,-0.11181638984680878,0.9753787878787878,0.9074634329291161,0.821969696969697,0.8454369296162021,0.9052631578947369,0.9154113557358052,0.8431372549019608,0.8936651583710408,0.9772727272727273,0.9382422802850356,43,395,16,143,8,47,1,26
0.03498435020446777,0.008008480072021484,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.859375,0.8813008130081301,-0.15383853772642436,-0.11825758311427906,0.9006802721088436,0.919096685349826,0.8850340136054422,0.8388637901043681,0.9010989010989012,0.9161882893226176,0.9761904761904762,0.8769230769230769,0.8367346938775511,0.9591346153846154,41,399,14,143,1,56,8,17
0.033049583435058594,0.007973670959472656,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9393939393939394,0.8694942903752039,-0.08590355191974118,-0.11200228979976813,0.9814634146341463,0.905641659179395,0.9356097560975609,0.8294149945093341,0.9512195121951219,0.908256880733945,0.9512195121951219,0.8839285714285714,0.9512195121951219,0.9339622641509434,39,396,23,137,2,52,2,28
0.03346419334411621,0.008006811141967773,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8333333333333334,0.8825448613376835,-0.15672599223166642,-0.10067258681876463,0.84762348555452,0.9240654205607477,0.8215284249767009,0.8437673654963375,0.860759493670886,0.9179954441913439,0.8095238095238095,0.8955555555555555,0.918918918918919,0.9415887850467289,34,403,21,138,8,47,3,25
0.030918598175048828,0.006998777389526367,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8363636363636363,0.8830128205128205,-0.15361876108351238,-0.10349188514012785,0.916445623342175,0.9163881026742142,0.8269230769230769,0.8466962717157915,0.8656716417910448,0.9180695847362514,0.7631578947368421,0.8989010989010989,1.0,0.9380733944954128,29,409,17,142,9,46,0,27
0.03176546096801758,0.007899045944213867,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9625,0.8664440734557596,-0.08618586515126972,-0.13503159560611996,0.9827784156142365,0.9078039450986275,0.9466130884041333,0.8231580789519738,0.9774436090225564,0.9047619047619049,0.9848484848484849,0.8597285067873304,0.9701492537313433,0.9547738693467337,65,380,12,139,1,62,2,18
0.034557342529296875,0.007982969284057617,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8611111111111112,0.8731466227347611,-0.10840364176835932,-0.10405456286801658,0.8232373386295929,0.921832213094349,0.7537239324726912,0.8457804331590739,0.912280701754386,0.908004778972521,0.8524590163934426,0.8941176470588236,0.9811320754716981,0.9223300970873787,52,380,10,150,9,45,1,32
0.031045198440551758,0.008658409118652344,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8701298701298701,-0.07458361403302885,-0.10764240355932468,0.988031914893617,0.9087465564738293,0.9155585106382979,0.8405103668261563,0.9333333333333332,0.9061032863849766,0.9767441860465116,0.8894009216589862,0.8936170212765957,0.9234449760765551,42,386,15,150,1,48,5,32
0.03299570083618164,0.008003950119018555,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7922077922077922,0.8887043189368771,-0.1509136411640592,-0.10240480260503489,0.8544444444444445,0.9206107853875395,0.7377777777777779,0.856111075317312,0.851851851851852,0.9210836277974086,0.7931034482758621,0.9009216589861752,0.92,0.9421686746987952,46,391,15,144,12,43,4,24
0.031012535095214844,0.007952451705932617,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9117647058823529,0.8756137479541735,-0.07073838581707653,-0.11387262941442576,0.9838541666666667,0.9067158644218645,0.8645833333333333,0.8413372394867611,0.9400000000000001,0.911214953271028,0.9038461538461539,0.8883826879271071,0.9791666666666666,0.935251798561151,47,390,15,145,5,49,1,27
0.03003382682800293,0.007955789566040039,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8805237315875614,-0.09361421001965928,-0.11181638984680878,0.9753787878787878,0.9074634329291161,0.821969696969697,0.8454369296162021,0.9052631578947369,0.9154113557358052,0.8431372549019608,0.8936651583710408,0.9772727272727273,0.9382422802850356,43,395,16,143,8,47,1,26
0.03299713134765625,0.006996631622314453,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.859375,0.8813008130081301,-0.15383853772642436,-0.11825758311427906,0.9006802721088436,0.919096685349826,0.8850340136054422,0.8388637901043681,0.9010989010989012,0.9161882893226176,0.9761904761904762,0.8769230769230769,0.8367346938775511,0.9591346153846154,41,399,14,143,1,56,8,17
0.03200888633728027,0.006990671157836914,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9393939393939394,0.8694942903752039,-0.08590355191974118,-0.11200228979976813,0.9814634146341463,0.905641659179395,0.9356097560975609,0.8294149945093341,0.9512195121951219,0.908256880733945,0.9512195121951219,0.8839285714285714,0.9512195121951219,0.9339622641509434,39,396,23,137,2,52,2,28
0.029991626739501953,0.00900721549987793,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8333333333333334,0.8825448613376835,-0.15672599223166642,-0.10067258681876463,0.84762348555452,0.9240654205607477,0.8215284249767009,0.8437673654963375,0.860759493670886,0.9179954441913439,0.8095238095238095,0.8955555555555555,0.918918918918919,0.9415887850467289,34,403,21,138,8,47,3,25
0.031231164932250977,0.00935673713684082,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8363636363636363,0.8830128205128205,-0.15361876108351238,-0.10349188514012785,0.916445623342175,0.9163881026742142,0.8269230769230769,0.8466962717157915,0.8656716417910448,0.9180695847362514,0.7631578947368421,0.8989010989010989,1.0,0.9380733944954128,29,409,17,142,9,46,0,27
0.032129526138305664,0.009011268615722656,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9625,0.8664440734557596,-0.08618586515126972,-0.13503159560611996,0.9827784156142365,0.9078039450986275,0.9466130884041333,0.8231580789519738,0.9774436090225564,0.9047619047619049,0.9848484848484849,0.8597285067873304,0.9701492537313433,0.9547738693467337,65,380,12,139,1,62,2,18
0.031957387924194336,0.009046077728271484,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8611111111111112,0.8731466227347611,-0.10840364176835932,-0.10405456286801658,0.8232373386295929,0.921832213094349,0.7537239324726912,0.8457804331590739,0.912280701754386,0.908004778972521,0.8524590163934426,0.8941176470588236,0.9811320754716981,0.9223300970873787,52,380,10,150,9,45,1,32
0.032011985778808594,0.00700068473815918,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8701298701298701,-0.07458361403302885,-0.10764240355932468,0.988031914893617,0.9087465564738293,0.9155585106382979,0.8405103668261563,0.9333333333333332,0.9061032863849766,0.9767441860465116,0.8894009216589862,0.8936170212765957,0.9234449760765551,42,386,15,150,1,48,5,32
0.029998779296875,0.007327079772949219,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7922077922077922,0.8887043189368771,-0.1509136411640592,-0.10240480260503489,0.8544444444444445,0.9206107853875395,0.7377777777777779,0.856111075317312,0.851851851851852,0.9210836277974086,0.7931034482758621,0.9009216589861752,0.92,0.9421686746987952,46,391,15,144,12,43,4,24
0.03189253807067871,0.006000518798828125,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9117647058823529,0.8756137479541735,-0.07073838581707653,-0.11387262941442576,0.9838541666666667,0.9067158644218645,0.8645833333333333,0.8413372394867611,0.9400000000000001,0.911214953271028,0.9038461538461539,0.8883826879271071,0.9791666666666666,0.935251798561151,47,390,15,145,5,49,1,27
0.03165268898010254,0.00907278060913086,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8805237315875614,-0.09361421001965928,-0.11181638984680878,0.9753787878787878,0.9074634329291161,0.821969696969697,0.8454369296162021,0.9052631578947369,0.9154113557358052,0.8431372549019608,0.8936651583710408,0.9772727272727273,0.9382422802850356,43,395,16,143,8,47,1,26
0.03317737579345703,0.008001327514648438,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.859375,0.8813008130081301,-0.15383853772642436,-0.11825758311427906,0.9006802721088436,0.919096685349826,0.8850340136054422,0.8388637901043681,0.9010989010989012,0.9161882893226176,0.9761904761904762,0.8769230769230769,0.8367346938775511,0.9591346153846154,41,399,14,143,1,56,8,17
0.03216981887817383,0.00808405876159668,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9393939393939394,0.8694942903752039,-0.08590355191974118,-0.11200228979976813,0.9814634146341463,0.905641659179395,0.9356097560975609,0.8294149945093341,0.9512195121951219,0.908256880733945,0.9512195121951219,0.8839285714285714,0.9512195121951219,0.9339622641509434,39,396,23,137,2,52,2,28
0.03308725357055664,0.0070056915283203125,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8333333333333334,0.8825448613376835,-0.15672599223166642,-0.10067258681876463,0.84762348555452,0.9240654205607477,0.8215284249767009,0.8437673654963375,0.860759493670886,0.9179954441913439,0.8095238095238095,0.8955555555555555,0.918918918918919,0.9415887850467289,34,403,21,138,8,47,3,25
0.03383183479309082,0.007031917572021484,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8363636363636363,0.8830128205128205,-0.15361876108351238,-0.10349188514012785,0.916445623342175,0.9163881026742142,0.8269230769230769,0.8466962717157915,0.8656716417910448,0.9180695847362514,0.7631578947368421,0.8989010989010989,1.0,0.9380733944954128,29,409,17,142,9,46,0,27
0.03199005126953125,0.00800633430480957,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9625,0.8664440734557596,-0.08618586515126972,-0.13503159560611996,0.9827784156142365,0.9078039450986275,0.9466130884041333,0.8231580789519738,0.9774436090225564,0.9047619047619049,0.9848484848484849,0.8597285067873304,0.9701492537313433,0.9547738693467337,65,380,12,139,1,62,2,18
0.033486127853393555,0.007986783981323242,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8611111111111112,0.8731466227347611,-0.10840364176835932,-0.10405456286801658,0.8232373386295929,0.921832213094349,0.7537239324726912,0.8457804331590739,0.912280701754386,0.908004778972521,0.8524590163934426,0.8941176470588236,0.9811320754716981,0.9223300970873787,52,380,10,150,9,45,1,32
0.03199005126953125,0.0070247650146484375,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8701298701298701,-0.07458361403302885,-0.10764240355932468,0.988031914893617,0.9087465564738293,0.9155585106382979,0.8405103668261563,0.9333333333333332,0.9061032863849766,0.9767441860465116,0.8894009216589862,0.8936170212765957,0.9234449760765551,42,386,15,150,1,48,5,32
0.03200268745422363,0.007998228073120117,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7922077922077922,0.8887043189368771,-0.1509136411640592,-0.10240480260503489,0.8544444444444445,0.9206107853875395,0.7377777777777779,0.856111075317312,0.851851851851852,0.9210836277974086,0.7931034482758621,0.9009216589861752,0.92,0.9421686746987952,46,391,15,144,12,43,4,24
0.03200244903564453,0.007996797561645508,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9117647058823529,0.8756137479541735,-0.07073838581707653,-0.11387262941442576,0.9838541666666667,0.9067158644218645,0.8645833333333333,0.8413372394867611,0.9400000000000001,0.911214953271028,0.9038461538461539,0.8883826879271071,0.9791666666666666,0.935251798561151,47,390,15,145,5,49,1,27
0.032010555267333984,0.006998300552368164,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8805237315875614,-0.09361421001965928,-0.11181638984680878,0.9753787878787878,0.9074634329291161,0.821969696969697,0.8454369296162021,0.9052631578947369,0.9154113557358052,0.8431372549019608,0.8936651583710408,0.9772727272727273,0.9382422802850356,43,395,16,143,8,47,1,26
0.03600502014160156,0.007009029388427734,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.859375,0.8813008130081301,-0.15383853772642436,-0.11825758311427906,0.9006802721088436,0.919096685349826,0.8850340136054422,0.8388637901043681,0.9010989010989012,0.9161882893226176,0.9761904761904762,0.8769230769230769,0.8367346938775511,0.9591346153846154,41,399,14,143,1,56,8,17
0.032213449478149414,0.00588679313659668,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9393939393939394,0.8694942903752039,-0.08590355191974118,-0.11200228979976813,0.9814634146341463,0.905641659179395,0.9356097560975609,0.8294149945093341,0.9512195121951219,0.908256880733945,0.9512195121951219,0.8839285714285714,0.9512195121951219,0.9339622641509434,39,396,23,137,2,52,2,28
0.03032064437866211,0.0070765018463134766,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8333333333333334,0.8825448613376835,-0.15672599223166642,-0.10067258681876463,0.84762348555452,0.9240654205607477,0.8215284249767009,0.8437673654963375,0.860759493670886,0.9179954441913439,0.8095238095238095,0.8955555555555555,0.918918918918919,0.9415887850467289,34,403,21,138,8,47,3,25
0.03259086608886719,0.007952213287353516,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8363636363636363,0.8830128205128205,-0.15361876108351238,-0.10349188514012785,0.916445623342175,0.9163881026742142,0.8269230769230769,0.8466962717157915,0.8656716417910448,0.9180695847362514,0.7631578947368421,0.8989010989010989,1.0,0.9380733944954128,29,409,17,142,9,46,0,27
